Index ;Rank;Team;Won;Lost;Tied;Pct.;First NFL Season;Total Games;Division
0;1;Dallas Cowboys;493;367;6;0.573;1960;866;NFC East
1;2;Green Bay Packers;730;553;37;0.567;1921;1,320;NFC North
2;3;Chicago Bears;744;568;42;0.565;1920;1,354;NFC North
3;4;Miami Dolphins;439;341;4;0.563;1966;784;AFC East
4;5;New England Patriots;476;383;9;0.554;1960;868;AFC East
5;6;New York Giants;684;572;33;0.543;1925;1,289;NFC East
6;7;Denver Broncos;465;393;10;0.541;1960;868;AFC West
7;8;Minnesota Vikings;457;387;10;0.541;1961;854;NFC North
8;9;Baltimore Ravens;181;154;1;0.540;1996;336;AFC North
9;10;San Francisco 49ers;522;450;14;0.537;1950;986;NFC West
10;11;Indianapolis Colts;502;441;7;0.532;1953;950;AFC South
11;12;Oakland Raiders;456;401;11;0.532;1960;868;AFC West
12;13;Pittsburgh Steelers;601;535;20;0.529;1933;1,156;AFC North